,id,salaryusd,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region,averagesalaryusdbins
6565,6610,12000,Oracle,17,Full time employee,DBA,No,0,More than 5,Masters,No,"No, I never have",50,2,Government,Eastern Europe,USD15000
6567,6612,20000,Microsoft SQL Server,5,Full time employee,Analyst,Yes,7,1,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6573,6618,15000,Microsoft SQL Server,4,Full time employee,DBA,Yes,1,None,Bachelors (4 years),Yes,"No, I never have",8,1,Private business,Eastern Europe,USD15000
6574,6619,12000,Microsoft SQL Server,10,Full time employee,Manager,Yes,10,1,Masters,No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6582,6627,20000,Microsoft SQL Server,10,Full time employee,Developer,Yes,7,5,Bachelors (4 years),Yes,"No, I never have",48,"None, or less than 1 day per week",Private business,South America,USD15000
6590,6636,20000,Microsoft SQL Server,6,Full time employee,Developer,Yes,6,1,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
6591,6637,14000,Microsoft SQL Server,2,Full time employee,DBA,No,5,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
6592,6638,10500,Microsoft SQL Server,7,Full time employee,DBA,No,7,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
6594,6640,12000,Microsoft SQL Server,5,Full time employee,Developer,No,5,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,4,Private business,Asia,USD15000
6596,6642,10962,Microsoft SQL Server,10,Full time employee,Analyst,Yes,10,2,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD15000
6601,6647,18500,Microsoft SQL Server,7,Full time employee,DBA,No,8,4,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,Latin America,USD15000
6613,6659,10073,Microsoft SQL Server,2,Full time employee,DBA,No,2,More than 5,Masters,Yes,"Yes, and they're currently valid",48,"None, or less than 1 day per week",Private business,Latin America,USD15000
6616,6662,10095,Microsoft SQL Server,5,Full time employee,DBA,Yes,5,1,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Latin America,USD15000
6624,6670,20000,Microsoft SQL Server,4,Full time employee,DBA,No,4,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
6625,6671,18181,Microsoft SQL Server,7,Full time employee,DBA,Yes,3,None,Masters,Yes,"Yes, but they expired",42,4,Private business,Asia,USD15000
6631,6677,16380,Microsoft SQL Server,7,Full time employee,DBA,Yes,3,3,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Middle East,USD15000
6637,6683,13000,Microsoft SQL Server,7,Full time employee,DBA,No,7,None,Bachelors (4 years),,"No, I never have",45,5 or more,Private business,Middle East,USD15000
6642,6688,15600,Azure SQL DB,4,Full time employee,Developer,No,5,1,None (no degree completed),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD15000
6643,6689,17913,Microsoft SQL Server,1,Full time employee,DBA,No,1,1,Bachelors (4 years),,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD15000
6644,6690,16000,Microsoft SQL Server,12,Full time employee,Engineer,Yes,8,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
6647,6693,17333,Microsoft SQL Server,7,Full time employee,DBA,Yes,7,2,Bachelors (4 years),Yes,"No, I never have",35,5 or more,Private business,South America,USD15000
1022,1028,25000,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,Associates (2 years),Yes,"No, I never have",22,"None, or less than 1 day per week",Government,North America,USD25000
4377,4410,23000,Microsoft SQL Server,4,Full time employee,Developer,No,3,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4441,4474,28739,Microsoft SQL Server,2,Full time employee,DBA,No,2,None,Associates (2 years),,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Government,Western Europe,USD25000
4457,4490,30000,Microsoft SQL Server,1,Full time employee,DBA,No,1,None,None (no degree completed),,"No, I never have",37,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4488,4521,27280,Other,1,Full time employee,Analyst,No,1,None,Masters,Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4513,4546,28500,Microsoft SQL Server,7,Full time employee,Analyst,No,1,1,None (no degree completed),,"No, I never have",38,"None, or less than 1 day per week",Government,Western Europe,USD25000
4517,4550,29000,Microsoft SQL Server,2,Full time employee,Analyst,No,2,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4532,4565,27049,Microsoft SQL Server,1,Full time employee,Developer,No,1,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4595,4628,29000,Microsoft SQL Server,2,Full time employee,Analyst,No,2,1,Bachelors (4 years),No,"No, I never have",38,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4735,4769,30000,Microsoft SQL Server,8,Independent Consultant/Freelancer,Developer,No,1,None,Doctorate/PhD,No,"No, I never have",35,5 or more,Private business,Western Europe,USD25000
4760,4794,29000,Microsoft SQL Server,1,Full time employee,Analyst,No,0,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Government,Western Europe,USD25000
4774,4808,26000,Microsoft SQL Server,3,Full time employee,Developer,No,2,1,Bachelors (4 years),,"No, I never have",45,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4817,4851,24145.2,Microsoft SQL Server,5,Full time employee,DBA,No,5,None,None (no degree completed),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4864,4898,29000,Microsoft SQL Server,1,Full time employee,Developer,No,1,3,Bachelors (4 years),Yes,"No, I never have",37,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4948,4983,20750,Microsoft SQL Server,1,Full time employee,DBA,No,1,5,None (no degree completed),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
4961,4996,28495,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,None (no degree completed),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,Western Europe,USD25000
5023,5059,30000,Microsoft SQL Server,16,Full time employee,DBA,No,16,None,Associates (2 years),Yes,"No, I never have",42,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5031,5067,25000,Microsoft SQL Server,3,Full time employee,Developer,No,3,1,Bachelors (4 years),Yes,"Yes, but they expired",37,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5175,5213,30000,Microsoft SQL Server,6,Full time employee,DBA,No,6,5,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5187,5225,30000,Microsoft SQL Server,1,Full time employee,Developer,No,1,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5202,5240,26400,Microsoft SQL Server,7,Full time employee,DBA,No,5,None,Bachelors (4 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5228,5266,27600,PostgreSQL,2,Full time employee,Developer,No,2,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5239,5277,27000,Microsoft SQL Server,2,Full time employee,DBA,No,2,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5482,5520,29148,PostgreSQL,1,Full time employee,Developer,No,3,3,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5493,5531,30000,Microsoft SQL Server,8,Full time employee,DBA,Yes,5,None,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5495,5533,25000,Microsoft SQL Server,5,Full time employee,Engineer,Yes,5,More than 5,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5511,5549,27000,Microsoft SQL Server,10,Full time employee,Architect,Yes,12,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5522,5560,21000,Microsoft SQL Server,3,Full time employee,DBA,No,7,None,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5526,5564,27000,Microsoft SQL Server,4,Full time employee,Developer,No,3,More than 5,Masters,No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5529,5567,27000,MySQL/MariaDB,1,Full time employee,Developer,No,1,None,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5530,5568,28800,Microsoft SQL Server,12,Full time employee,Developer,Yes,12,None,Masters,No,"No, I never have",40,2,Private business,Eastern Europe,USD25000
5532,5570,26500,Microsoft SQL Server,2,Independent Consultant/Freelancer,Developer,No,4,More than 5,Masters,,"No, I never have",40,5 or more,Private business,Eastern Europe,USD25000
5534,5572,30000,Microsoft SQL Server,10,Full time employee,Developer,Yes,12,More than 5,Masters,Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,Eastern Europe,USD25000
5722,5760,29511,Microsoft SQL Server,14,Full time employee,DBA,Yes,14,More than 5,Masters,Yes,"Yes, but they expired",40,2,Private business,Asia,USD25000
5723,5761,23000,Microsoft SQL Server,9,Full time employee,Architect,Yes,3,None,Masters,Yes,"Yes, but they expired",40,1,Private business,Asia,USD25000
5731,5769,25500,Microsoft SQL Server,8,Full time employee,DBA,Yes,8,1,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,Asia,USD25000
5737,5775,25000,Microsoft SQL Server,7,Full time employee,DBA,Yes,1,None,Masters,Yes,"Yes, and they're currently valid",40,5 or more,Private business,Asia,USD25000
5739,5777,22000,Microsoft SQL Server,7,Full time employee,DBA,No,7,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5750,5788,29000,Microsoft SQL Server,11,Full time employee,Analyst,No,11,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5753,5791,22941,Microsoft SQL Server,8,Full time employee,DBA,No,0,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5755,5793,24000,Microsoft SQL Server,10,Full time employee,DBA,No,5,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5757,5795,21350,Microsoft SQL Server,5,Full time employee,DBA,No,5,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Private business,Asia,USD25000
5771,5809,27880,Microsoft SQL Server,10,Full time employee,DBA,No,3,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,5 or more,Private business,Asia,USD25000
5774,5812,30000,MySQL/MariaDB,5,Full time employee,DBA,No,5,More than 5,Masters,No,"Yes, and they're currently valid",40,5 or more,Private business,Asia,USD25000
5775,5813,22000,Microsoft SQL Server,10,Full time employee,Architect,Yes,5,4,Bachelors (4 years),No,"Yes, but they expired",45,2,Private business,Asia,USD25000
5778,5816,26500,Microsoft SQL Server,6,Full time employee,Engineer,Yes,4,1,Bachelors (4 years),No,"Yes, but they expired",70,"None, or less than 1 day per week",Private business,Asia,USD25000
5787,5825,23300,Microsoft SQL Server,10,Full time employee,Developer,No,8,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5789,5827,30000,Microsoft SQL Server,12,Full time employee,DBA,Yes,1,None,Masters,Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD25000
5791,5829,22000,Microsoft SQL Server,8,Full time employee,Developer,Yes,7,More than 5,Associates (2 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,Asia,USD25000
5800,5838,24375,Microsoft SQL Server,10,Full time employee,DBA,No,9,1,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5802,5840,22735,MongoDB,3,Full time employee,Developer,No,5,1,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD25000
5822,5862,25500,Microsoft SQL Server,10,Full time employee,DBA,No,10,More than 5,Masters,Yes,"Yes, and they're currently valid",40,5 or more,Private business,Asia,USD25000
5825,5865,20476,Microsoft SQL Server,9,Full time employee,DBA,Yes,1,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",93,1,Private business,Asia,USD25000
5829,5869,26500,Microsoft SQL Server,10,Full time employee,DBA,No,0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5835,5875,23000,Microsoft SQL Server,4,Full time employee,Architect,No,9,3,None (no degree completed),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5836,5876,28308,Microsoft SQL Server,10,Full time employee,DBA,No,1,5,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD25000
5852,5892,29200,Microsoft SQL Server,9,Full time employee,DBA,No,9,1,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,Africa,USD25000
5862,5902,26000,Microsoft SQL Server,7,Full time employee,DBA,No,5,1,Bachelors (4 years),No,"Yes, and they're currently valid",40,1,Private business,Africa,USD25000
5887,5927,24000,Microsoft SQL Server,11,Full time employee,Developer,No,6,2,None (no degree completed),,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Africa,USD25000
5892,5932,30000,Microsoft SQL Server,5,Full time employee,Developer,No,1,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Private business,Africa,USD25000
5898,5938,29200,Microsoft SQL Server,10,Full time employee,Developer,No,2,2,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Africa,USD25000
